ds,yhat,yhat_lower,yhat_upper
2020-07-07,288188.56601475243,274267.1557683119,302580.8719286127
2020-07-08,296563.75598214986,282550.6782857953,311471.1604602956
2020-07-09,304190.9879032671,291255.9033043238,317908.3334572877
2020-07-10,312462.348717481,299212.96160802717,326360.22693654
2020-07-11,320506.655969101,306634.1741089037,334543.1017904273
2020-07-12,329129.7470495752,315553.4103698616,342702.58997307054
2020-07-13,336874.41538942175,323376.6577259391,351547.9263869712
2020-07-14,342479.47486284835,328510.669116722,354966.2933698751
2020-07-15,350854.664830246,335668.8076111064,364694.4919653945
2020-07-16,358481.89675136557,343839.4019418735,373306.189919569
2020-07-17,366753.2575655766,352821.525916171,380197.17761856975
2020-07-18,374797.5648171972,361631.54844902584,388940.8810627334
2020-07-19,383420.6558976739,370409.7680852845,397021.91207907064
2020-07-20,391165.3242375154,377578.59334821097,405598.7059999392
2020-07-21,396770.3837109435,383573.491240924,410656.8575034467
2020-07-22,405145.57367834065,391247.7732783065,419617.9264512839
2020-07-23,412772.80559946044,399909.0626825473,425802.41410563316
2020-07-24,421044.16641367204,406901.04065256665,433529.548258032
2020-07-25,429088.4736652916,415750.3806399531,443114.1890353205
2020-07-26,437711.5647457696,423248.2169816798,451122.23813796014
2020-07-27,445456.23308561277,431541.3691245875,459669.77445710445
2020-07-28,451061.2925590421,436213.88056403503,463385.70017334045
2020-07-29,459436.4825264367,445106.4899083218,473670.7655335033
2020-07-30,467063.71444755566,453592.1497858644,481744.95768910344
2020-07-31,475335.0752617701,460561.0718718593,488876.2924426172
2020-08-01,483379.38251338934,469967.81108024,497820.8313901964
2020-08-02,492002.4735938659,477844.7552058638,506125.2198434494
2020-08-03,499747.14193370636,485983.54496236384,514558.93240394216
2020-08-04,505352.20140713704,491795.0568498031,519512.76543540624
2020-08-05,513727.3913745334,499772.7197828849,527985.181319126
2020-08-06,521354.62329565216,506930.2727147803,535835.8899472713
2020-08-07,529625.984109863,515258.739145386,542916.705311991
2020-08-08,537670.2913614868,523469.95839822973,552555.0841898525
2020-08-09,546293.3824419595,530908.6692725093,561503.333503404
2020-08-10,554038.0507818,539684.8430745471,568482.0918065666
2020-08-11,559643.1102552331,544265.8230002698,575086.6912362649
2020-08-12,568018.3002226298,551080.8423233062,584547.9466442298
2020-08-13,575645.5321437459,560781.4144408958,591401.9071669395
2020-08-14,583916.892957961,567302.2215083868,599606.3488237255
2020-08-15,591961.2002095842,574560.4333939267,608520.674640098
2020-08-16,600584.2912900577,581517.8301366181,619265.1847645259
2020-08-17,608328.9596298954,590089.6363745227,624716.1463087717
2020-08-18,613934.0191033325,597623.2723621874,632250.2403809406
2020-08-19,622309.2090707264,603389.9297471816,641021.8139580514
2020-08-20,629936.4409918445,609787.3915499881,648721.3890425065
2020-08-21,638207.8018060541,618284.5428205483,657747.139425732
2020-08-22,646252.1090576787,626668.5981701413,667732.2013833661
2020-08-23,654875.2001381536,633318.275503248,675459.2211719933
2020-08-24,662619.8684779945,640209.2306206175,685111.6089489183
2020-08-25,668224.9279514281,646378.5885841118,691873.1108226853
2020-08-26,676600.1179188226,654088.6434164355,700184.0046010502
2020-08-27,684227.3498399393,661507.4082060037,708907.1553461279
2020-08-28,692498.7106541521,667354.7253088825,718224.3783667786
2020-08-29,700543.0179057723,673442.3832542654,726336.1911647863
2020-08-30,709166.1089862497,683421.1202708735,737536.4289183925
2020-08-31,716910.777326094,689020.4939028601,744213.4793853741
2020-09-01,722515.8367995229,693325.9112633105,751118.1477155697
2020-09-02,730891.0267669194,703819.9106281921,760357.6304472312
2020-09-03,738518.258688036,709610.8378130747,770367.4278098423
2020-09-04,746789.61950225,715174.6049679839,777523.6644343768
2020-09-05,754833.9267538666,721989.1285375747,787907.3411223727
2020-09-06,763457.0178343453,729934.529110665,798231.2777050007
2020-09-07,771201.6861741876,738414.4502441178,805726.804369944
2020-09-08,776806.7456476187,742498.7982285828,812276.0168791232
2020-09-09,785181.9356150137,748098.7263386986,818457.2718392973
2020-09-10,792809.1675361315,753711.9931105141,830974.9024040855
2020-09-11,801080.5283503431,761804.0477664298,839651.3452970157
2020-09-12,809124.8356019671,769232.5769573499,850691.6923458012
2020-09-13,817747.9266824438,776146.3939226414,859030.4624733604
2020-09-14,825492.5950222885,784500.0796749662,866642.8762368029
2020-09-15,831097.6544957145,785897.5145499783,874063.6763010859
2020-09-16,839472.8444631104,793516.2640467559,882445.3048616017
2020-09-17,847100.0763842282,801192.8315696,890853.8830652119
2020-09-18,855371.4371984412,808234.3600006797,900887.0057003758
2020-09-19,863415.7444500619,812568.6934610725,911388.5876659825
2020-09-20,872038.8355305378,820567.3254785341,919370.5361326217
2020-09-21,879783.5038703823,826525.0579935444,929197.6814236158
2020-09-22,885388.563343809,832676.1895696778,936405.4415646007
2020-09-23,893763.7533112064,839600.6033168549,947500.2419358029
2020-09-24,901390.9852323247,845260.6247891722,956217.5382620454
2020-09-25,909662.3460465365,851886.4612931191,963450.3965996869
